Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,106,12,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Suspend)              {                  TriggerLockMode();              }              else if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,106,12,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Suspend)              {                  TriggerLockMode();              }              else if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,106,12,F:Microsoft.Win32.PowerModes.Suspend,,,,,if (e.Mode == PowerModes.Suspend)              {                  TriggerLockMode();              }              else if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,106,12,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Suspend)              {                  TriggerLockMode();              }              else if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,106,12,P:Microsoft.Win32.PowerModeChangedEventArgs.Mode,,,,,if (e.Mode == PowerModes.Suspend)              {                  TriggerLockMode();              }              else if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,105,12,T:Microsoft.Win32.PowerModes,,,,,"WriteDiagLog($""OnPowerModeChanged wywołane, tryb: {e.Mode}"");"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,105,12,P:Microsoft.Win32.PowerModeChangedEventArgs.Mode,,,,,"WriteDiagLog($""OnPowerModeChanged wywołane, tryb: {e.Mode}"");"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,90,8,T:Microsoft.Win32.SessionSwitchEventArgs,,,,,"private void OnSessionSwitch(object sender, SessionSwitchEventArgs e)"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,97,17,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,97,17,T:Microsoft.Win32.SessionSwitchReason,,,,,if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,97,17,F:Microsoft.Win32.SessionSwitchReason.SessionUnlock,,,,,if (e.Reason == SessionSwitchReason.SessionUnlock)              {                  TriggerUnlockMode();              }
